ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-09,155.9995096445048,150.98733472517893,160.65048439179486,155.9995096445048,155.9995096445048,-0.36397982474280294,-0.36397982474280294,-0.36397982474280294,-0.36397982474280294,-0.36397982474280294,-0.36397982474280294,0.0,0.0,0.0,155.63552981976198
2024-01-10,156.31451671939243,150.80400632716203,160.5075343488197,156.31451671939243,156.31451671939243,-0.5417335025891622,-0.5417335025891622,-0.5417335025891622,-0.5417335025891622,-0.5417335025891622,-0.5417335025891622,0.0,0.0,0.0,155.77278321680328
2024-01-11,156.62952379428006,151.7739163009527,161.28459437041153,156.62952379428006,156.62952379428006,-0.3280413403854674,-0.3280413403854674,-0.3280413403854674,-0.3280413403854674,-0.3280413403854674,-0.3280413403854674,0.0,0.0,0.0,156.3014824538946
2024-01-12,156.94453086916766,152.6481243017214,162.1037193513407,156.94453086916766,156.94453086916766,0.48940226060649344,0.48940226060649344,0.48940226060649344,0.48940226060649344,0.48940226060649344,0.48940226060649344,0.0,0.0,0.0,157.43393312977415
2024-01-16,158.2045591687181,152.8616864397738,162.5945321557214,158.2045591687181,158.2045591687181,-0.3639798247433772,-0.3639798247433772,-0.3639798247433772,-0.3639798247433772,-0.3639798247433772,-0.3639798247433772,0.0,0.0,0.0,157.84057934397472
2024-01-17,158.5195662436057,153.0498058876861,162.82186523471873,158.5195662436057,158.5195662436057,-0.5417335025895759,-0.5417335025895759,-0.5417335025895759,-0.5417335025895759,-0.5417335025895759,-0.5417335025895759,0.0,0.0,0.0,157.97783274101613
2024-01-18,158.8345733184933,153.4439565271213,163.3832915000849,158.8345733184933,158.8345733184933,-0.32804134038501404,-0.32804134038501404,-0.32804134038501404,-0.32804134038501404,-0.32804134038501404,-0.32804134038501404,0.0,0.0,0.0,158.50653197810828
2024-01-19,159.14958039338094,154.4725845224976,164.6202986938884,159.14958039338094,159.14958039338094,0.4894022606068681,0.4894022606068681,0.4894022606068681,0.4894022606068681,0.4894022606068681,0.4894022606068681,0.0,0.0,0.0,159.63898265398782
2024-01-22,160.11466096597198,155.2581757187965,165.11853555116593,160.11466096597198,160.11466096597198,0.11909043811246431,0.11909043811246431,0.11909043811246431,0.11909043811246431,0.11909043811246431,0.11909043811246431,0.0,0.0,0.0,160.23375140408444
2024-01-23,160.436354490169,155.04503527157385,164.89405647133586,160.436354490169,160.436354490169,-0.36397982474314783,-0.36397982474314783,-0.36397982474314783,-0.36397982474314783,-0.36397982474314783,-0.36397982474314783,0.0,0.0,0.0,160.07237466542585
